X,Y,OBJECTID,EVENT_UNIQUE_ID,OCC_DATE,OCC_YEAR,OCC_MONTH,OCC_DAY,OCC_DOW,OCC_DOY,DIVISION,HOMICIDE_TYPE,HOOD_158,NEIGHBOURHOOD_158,HOOD_140,NEIGHBOURHOOD_140,LONG_WGS84,LAT_WGS84
-8835366.65312263,5412133.45932879,29,GO-2004456829,2004/06/18 04:00:00+00,2004,June,18,Friday,170,D51,Stabbing,73,Moss Park,73,Moss Park (73),-79.3694490534279,43.6545223936261
-8853809.40734587,5420859.92648221,30,GO-2004510813,2004/06/19 04:00:00+00,2004,June,19,Saturday,171,D31,Shooting,23,Pelmo Park-Humberlea,23,Pelmo Park-Humberlea (23),-79.5351231325013,43.7112128334883
-8852421.41760325,5430250.52506382,31,GO-2004564223,2004/07/01 04:00:00+00,2004,July,1,Thursday,183,D31,Shooting,24,Black Creek,24,Black Creek (24),-79.5226546089477,43.7721578775401
-8824940.17150133,5419061.74093008,32,GO-2004565547,2004/07/05 04:00:00+00,2004,July,5,Monday,187,D41,Stabbing,121,Oakridge,121,Oakridge (121),-79.2757863751624,43.6995355197743
-8848256.57730036,5408384.0712512,33,GO-2004565561,2004/07/07 04:00:00+00,2004,July,7,Wednesday,189,D22,Stabbing,16,Stonegate-Queensway,16,Stonegate-Queensway (16),-79.4852412117798,43.6301484953454
-8850487.80183303,5420430.94304988,34,GO-2004564251,2004/07/08 04:00:00+00,2004,July,8,Thursday,190,D31,Stabbing,28,Rustic,28,Rustic (28),-79.505284642677,43.7084272464395
-8840152.30307871,5429528.75505206,35,GO-2004565588,2004/07/09 04:00:00+00,2004,July,9,Friday,191,D32,Stabbing,151,Yonge-Doris,51,Willowdale East (51),-79.4124392781433,43.7674757874038
-8820516.07867974,5433290.53798694,36,GO-2004986698,2004/07/12 04:00:00+00,2004,July,12,Monday,194,D42,Other,146,Malvern East,132,Malvern (132),-79.2360440732869,43.7918742875241
-8833906.11223771,5434677.9553911,37,GO-2004592201,2004/07/21 04:00:00+00,2004,July,21,Wednesday,203,D33,Shooting,48,Hillcrest Village,48,Hillcrest Village (48),-79.3563287907612,43.8008704083347
-8846297.28880654,5413475.83396569,38,GO-2004593866,2004/07/23 04:00:00+00,2004,July,23,Friday,205,D11,Other,90,Junction Area,90,Junction Area (90),-79.4676406243715,43.6632464546761
-8835056.36128531,5411540.39665495,39,GO-2004594159,2004/07/24 04:00:00+00,2004,July,24,Saturday,206,D51,Shooting,73,Moss Park,73,Moss Park (73),-79.3666616540012,43.6506676897713
-8844710.68494351,5413487.8478151,40,GO-2004607864,2004/08/05 04:00:00+00,2004,August,5,Thursday,218,D11,Other,171,Junction-Wallace Emerson,93,Dovercourt-Wallace Emerson-Junction (93),-79.4533879192275,43.6633245266203
-8850321.34624372,5419576.54419025,41,GO-2004616055,2004/08/18 04:00:00+00,2004,August,18,Wednesday,231,D31,Stabbing,28,Rustic,28,Rustic (28),-79.5037893471226,43.7028788545426
-8843340.50476094,5419478.05779396,42,GO-2004605174,2004/08/19 04:00:00+00,2004,August,19,Thursday,232,D13,Stabbing,108,Briar Hill-Belgravia,108,Briar Hill-Belgravia (108),-79.4410793814915,43.7022392599214
-8811802.25209972,5433594.33920145,43,GO-2004592255,2004/08/30 04:00:00+00,2004,August,30,Monday,243,D42,Shooting,134,Highland Creek,134,Highland Creek (134),-79.157766436863,43.7938442738261
-8835727.4505016,5411803.31367544,44,GO-2004635798,2004/08/30 04:00:00+00,2004,August,30,Monday,243,D51,Other,73,Moss Park,73,Moss Park (73),-79.3726901505519,43.6523765914803
-8855361.46376152,5426934.49138279,45,GO-2004642839,2004/08/31 04:00:00+00,2004,August,31,Tuesday,244,D31,Stabbing,22,Humbermede,22,Humbermede (22),-79.549065492577,43.750643884213
-8856737.77809332,5419230.86009707,46,GO-2004642110,2004/09/05 04:00:00+00,2004,September,5,Sunday,249,D23,Shooting,6,Kingsview Village-The Westway,6,Kingsview Village-The Westway (6),-79.5614291346049,43.7006338670276
-8862512.86050782,5424087.97603853,47,GO-2004650681,2004/09/21 04:00:00+00,2004,September,21,Tuesday,265,D23,Shooting,1,West Humber-Clairville,1,West Humber-Clairville (1),-79.6133075830361,43.7321698925754
-8849048.69251044,5426114.56875369,48,GO-2004633558,2004/09/22 04:00:00+00,2004,September,22,Wednesday,266,D11,Other,27,York University Heights,27,York University Heights (27),-79.4923569044387,43.745323140381
-8831783.77230461,5413062.28189795,49,GO-2004676448,2004/10/08 04:00:00+00,2004,October,8,Friday,282,D55,Other,70,South Riverdale,70,South Riverdale (70),-79.3372634872614,43.6605589245325
-8849959.14568257,5420868.75295598,50,GO-2004683174,2004/10/15 04:00:00+00,2004,October,15,Friday,289,D31,Shooting,28,Rustic,28,Rustic (28),-79.500535643581,43.7112701464396
-8846877.79724185,5411729.14940697,51,GO-2004643900,2004/10/21 04:00:00+00,2004,October,21,Thursday,295,D11,Other,88,High Park North,88,High Park North (88),-79.4728554197439,43.6518945447855
-8836382.75851027,5419289.26225064,52,GO-2004696852,2004/10/27 04:00:00+00,2004,October,27,Wednesday,301,D53,Other,99,Mount Pleasant East,99,Mount Pleasant East (99),-79.3785768832516,43.701013155978
-8844392.41116474,5415470.13334772,53,GO-2004697185,2004/11/12 05:00:00+00,2004,November,12,Friday,317,D13,Other,92,Corso Italia-Davenport,92,Corso Italia-Davenport (92),-79.4505288172627,43.6762050187581
-8841963.7549473,5414407.35113029,54,GO-2004734705,2004/12/01 05:00:00+00,2004,December,1,Wednesday,336,D14,Stabbing,172,Dovercourt Village,93,Dovercourt-Wallace Emerson-Junction (93),-79.4287118274161,43.669299617974
-8841963.7549473,5414407.35113029,55,GO-2004734705,2004/12/01 05:00:00+00,2004,December,1,Wednesday,336,D14,Stabbing,172,Dovercourt Village,93,Dovercourt-Wallace Emerson-Junction (93),-79.4287118274161,43.669299617974
-8813084.52817847,5431773.69069601,56,GO-2004735933,2004/12/02 05:00:00+00,2004,December,2,Thursday,337,D42,Other,133,Centennial Scarborough,133,Centennial Scarborough (133),-79.169285318696,43.7820373852884
